Departemen_id;Departemen_Name;Division_id;Division_name;Direktorat_id;Direktorat_name
10230;PAYROLL DEPARTMENT;0;;50126;FINANCIAL DIRECTORATE
10229;DEPT. HEAD QUALITY COMPONENT & PRODUCT ASSURANCE DEPARTMENT;30144;QA DIVISION;50131;NON DIRECTORATE
10228;DEPT HEAD QC INPROCESS & FINAL INSPECTION DEPARTMENT;30144;QA DIVISION;50131;NON DIRECTORATE
10227;DEPT. HEAD QUALITY SYSTEM & TECHNICAL SERVICE DEPARTMENT;30144;QA DIVISION;50131;NON DIRECTORATE
10226;DEPT. HEAD QUALITY GUARANTEE DEPARTMENT;30144;QA DIVISION;50131;NON DIRECTORATE
10225;DEPT. HEAD SUPPLIER QUALITY ASSURANCE & CHEMICAL LAB DEPARTMENT;30144;QA DIVISION;50131;NON DIRECTORATE
10224;DEPT HEAD QA PROCESS & PRODUCT INSPECTION MOTORCYCLE TYRE PLANT DEPARTMENT;30144;QA DIVISION;50131;NON DIRECTORATE
10223;PROVING GROUND DEPARTMENT;30143;RND DIVISION;50131;NON DIRECTORATE
10222; TIRE DEVELOPMENT OE RT DEPARTMENT;30143;RND DIVISION;50131;NON DIRECTORATE
10221; TIRE TESTING DEPARTMENT;30143;RND DIVISION;50131;NON DIRECTORATE
10220; RESEARCH PRODUCT, PROCESS, SIMULATION & PDM DEPARTMENT;30143;RND DIVISION;50131;NON DIRECTORATE
10219; MATERIAL, COMPOUND RESEARCH & DEVELOPMENT DEPARTMENT;30143;RND DIVISION;50131;NON DIRECTORATE
10218;INTERNAL AUDIT DEPARTMENT;30145;NON DIVISION;50131;NON DIRECTORATE
10217;LEGAL DEPARTMENT;30145;NON DIVISION;50131;NON DIRECTORATE
10216; EFFICIENCY PROJECT 2 DEPARTMENT;30142;SMO & EFFICIENCY;50131;NON DIRECTORATE
10215; EFFICIENCY PROJECT 1 DEPARTMENT;30142;SMO & EFFICIENCY;50131;NON DIRECTORATE
10214; STRATEGY MANAGEMENT DEPARTMENT;30142;SMO & EFFICIENCY;50131;NON DIRECTORATE
10213; CORPORATE COMMUNICATION & SECRETARY DEPARTMENT;30141;CCIR DIVISION;50126;FINANCIAL DIRECTORATE
10212; INVESTOR & BANKING RELATION DEPARTMENT;30141;CCIR DIVISION;50126;FINANCIAL DIRECTORATE
10211;MACHINARY, ELECTRICAL DEPARTMENT;0;;50128;PROCUREMENT DIRECTORATE
10209;RAW MATERIAL DEPARTMENT;30140;RAW MATERIAL, PROMOTION DIVISION;50128;PROCUREMENT DIRECTORATE
10208;SOP DEPARTMENT;30139;ACCOUNTING & TAX DIVISION;50126;FINANCIAL DIRECTORATE
10207;COSTING DEPARTMENT;30139;ACCOUNTING & TAX DIVISION;50126;FINANCIAL DIRECTORATE
10206;TAX DEPARTMENT;30139;ACCOUNTING & TAX DIVISION;50126;FINANCIAL DIRECTORATE
10205;ACCOUNTING DEPARTMENT;30139;ACCOUNTING & TAX DIVISION;50126;FINANCIAL DIRECTORATE
10204;FPAC DEPARTMENT;0;;50126;FINANCIAL DIRECTORATE
10203;TREASURY DEPARTMENT;30138;FINANCE DIVISION;50126;FINANCIAL DIRECTORATE
10202;PAYMENT DEPARTMENT;30138;FINANCE DIVISION;50126;FINANCIAL DIRECTORATE
10201;COLLECTION DEPARTMENT;30138;FINANCE DIVISION;50126;FINANCIAL DIRECTORATE
10200;IT OPERATIONAL (FACTORY) DEPARTMENT;30137;IT DIVISION;50126;FINANCIAL DIRECTORATE
10199;IMPLEMENTATION & DEVELOPMENT DEPARTMENT;30137;IT DIVISION;50126;FINANCIAL DIRECTORATE
10198;IT OPERATIONAL (HO) DEPARTMENT;30137;IT DIVISION;50126;FINANCIAL DIRECTORATE
10197;PRODUCT MARKETING DEPARTMENT;30136;MARKETING DIVISION;50125;SALES & MARKETING DIRECTORATE
10196;BRAND MANAGEMENT DEPARTMENT;30136;MARKETING DIVISION;50125;SALES & MARKETING DIRECTORATE
10195;OEM PCR DOMESTIC SALES DEPARTMENT;30134;SALES OEM DIVISION;50125;SALES & MARKETING DIRECTORATE
10194;OEM COMMERCIAL, MC DOMESTIC & EXPORT SALES DEPARTMENT;30134;SALES OEM DIVISION;50125;SALES & MARKETING DIRECTORATE
10193;SALES PCR TIRES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10192;RETAIL SALES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10191;RETAIL SALES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10190;BUSINESS SUPPORT DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10189;SALES COMMERCIAL PROJECT DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10188;SALES COMMERCIAL TIRES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10187; SALES COMMERCIAL TIRES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10186;SALES COMMERCIAL TIRES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10185;SALES COMMERCIAL TIRES DEPARTMENT;30133;SALES AM DIVISION;50125;SALES & MARKETING DIRECTORATE
10183;WORKSHOP FORKLIFT & VEHICLE DEPARTMENT;30131;ENGINEERING II DIVISION;50123;ENGINEERING DIRECTORATE
10183;SALES WEST REGION & IRC DEPARTMENT;30132;SALES MC DIVISION;50125;SALES & MARKETING DIRECTORATE
10182;JOINT CIVIL WORK DEPARTMENT;30131;ENGINEERING II DIVISION;50123;ENGINEERING DIRECTORATE
10181;INSTALLATION DEPARTMENT;30131;ENGINEERING II DIVISION;50123;ENGINEERING DIRECTORATE
10180;INSTRUMENT CALIBRATION PLANT DK DEPARTMENT;30130;ENGINEERING I DIVISION;50123;ENGINEERING DIRECTORATE
10179;MAINTENANCE DAILY PLANT M DEPARTMENT;30130;ENGINEERING I DIVISION;50123;ENGINEERING DIRECTORATE
10178;MAINTENANCE DAILY PLANT DK DEPARTMENT;30130;ENGINEERING I DIVISION;50123;ENGINEERING DIRECTORATE
10177;MAINTENANCE CENTRAL & DAILY PLANT R DEPARTMENT;30130;ENGINEERING I DIVISION;50123;ENGINEERING DIRECTORATE
10176;MAINTENANCE CENTRAL PLANT M DEPARTMENT;30130;ENGINEERING I DIVISION;50123;ENGINEERING DIRECTORATE
10175;MAINTENANCE CENTRAL PLANT DK DEPARTMENT;30130;ENGINEERING I DIVISION;50123;ENGINEERING DIRECTORATE
10174;SUPPLY CHAIN MANAGEMENT DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10173;SHIPPING DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10171;PRODUCT WAREHOUSE RADIAL DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10170;PRODUCT WAREHOUSE R DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10169;PRODUCT WAREHOUSE MC TIRE & TUBE DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10168;PRODUCT WAREHOUSE A DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10167;RAW MATERIAL, CONTROL, & PPC CENTRAL DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10166;K3L & MANAGEMENT SUPPORT DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10165;LOCAL EXPEDITION DEPARTMENT;30129;LOGISTIC;50131;NON DIRECTORATE
10164;K3L  DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10163;TECHNICAL DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10162;QUALITY CONTROL DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10161;PPC BIAS TUBE DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10160;PPC BIAS TIRE DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10159;PRODUCTION BIAS TUBE DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10158;PRODUCTION BIAS TIRE DEPARTMENT;30128;BIAS PLANT;50124;MANUFACTURING DIRECTORATE
10157;K3L & MANAGEMENT SUPPORT DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10156;TECHNICAL DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10155;QUALITY CONTROL - QC DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10154;PPC DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10153;COMPOUND MCD & FLAP DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10152;COMPOUND MCA & MCI DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10151;COMPOUND MCG DEPARTMENT;30127;MIXING PLANT;50124;MANUFACTURING DIRECTORATE
10150;PRODUCTION DEPARTMENT;30126;TBR PLANT;50124;MANUFACTURING DIRECTORATE
10149;PPC DEPARTMENT;30126;TBR PLANT;50124;MANUFACTURING DIRECTORATE
10148;TECHNICAL TBR DEPARTMENT;30126;TBR PLANT;50124;MANUFACTURING DIRECTORATE
10147;K3L & MANAGEMENT SUPPORT DEPARTMENT;30126;TBR PLANT;50124;MANUFACTURING DIRECTORATE
10146;K3L & MANAGEMENT SUPPORT DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10145;TECHNICAL DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10144;QUALITY CONTROL & FINAL INSPECTION DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10143;PPC DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10142;PRODUCTION TUBE DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10141;PRODUCTION TIRE PLANT I DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10140;PRODUCTION TIRE PLANT B&H DEPARTMENT;30125;MC PLANT;50124;MANUFACTURING DIRECTORATE
10139;QUALITY CONTROL & FINAL INSPECTION DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10138;INDUSTRIAL ENGINEERING & MANAGEMENT SUPPORT K3L DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10137;PPC DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10136;PRODUCTION CURING DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10135;PRODUCTION BUILDING DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10134;PRODUCTION (MATERIAL PREPARATION - HOT) DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10133;PRODUCTION (MATERIAL PREPARATION - COLD) DEPARTMENT;30124;PCR PLANT;50124;MANUFACTURING DIRECTORATE
10132;SPAREPART WAREHOUSE DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10131;JOINT EXPANTION MODIFICATION DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10130;UTILITY OPERATION DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10129;UTILITY MAINTENANCE DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10128;SYSTEM & K3L DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10127;WORKSHOP DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10126;MAINTENANCE CENTRAL PLANT CH DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10125;MAINTENANCE DAILY PLANT BCHI & CENTRAL PLANT BI DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10124;MAINTENANCE DAILY PLANT A DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
10123;MAINTENANCE CENTRAL PLANT A DEPARTMENT;30123;ENGINEERING III DIVISION;50123;ENGINEERING DIRECTORATE
0;;30135;SALES EXPORT DIVISION;50125;SALES & MARKETING DIRECTORATE
0;;0;;50131;NON DIRECTORATE
0;;30145;NON DIVISION;50131;NON DIRECTORATE
0;;30145;NON DIVISION;50131;NON DIRECTORATE
0;;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
0;;22222;GA&GS DIVISION;121212;HRGA DIRECTORATE
0;;33333;HSE DIVISION;121212;HRGA DIRECTORATE
0;;33334;GA HEAD OFFFICE DIVISION;121212;HRGA DIRECTORATE
